"linter","tags"
"library_dynam_unload_signature_linter","signature"
"list_dirs_signature_linter","signature"
"list_files_signature_linter","signature"
"load_signature_linter","signature"
"loadNamespace_signature_linter","signature"
"local_signature_linter","signature"
"lockBinding_signature_linter","signature"
"lockEnvironment_signature_linter","signature"
"log_signature_linter","signature"
"logb_signature_linter","signature"
"logical_signature_linter","signature"
"lower_tri_signature_linter","signature"
"ls_signature_linter","signature"
"make_names_signature_linter","signature"
"make_unique_signature_linter","signature"
"makeActiveBinding_signature_linter","signature"
"margin_table_signature_linter","signature"
"marginSums_signature_linter","signature"
"mat_or_vec_signature_linter","signature"
"match_signature_linter","signature"
"match_arg_signature_linter","signature"
"match_call_signature_linter","signature"
"match_fun_signature_linter","signature"
"matrix_signature_linter","signature"
"max_col_signature_linter","signature"
"mem_maxNSize_signature_linter","signature"
"mem_maxVSize_signature_linter","signature"
"memCompress_signature_linter","signature"
"memDecompress_signature_linter","signature"
"mget_signature_linter","signature"
"missing_signature_linter","signature"
"Mod_signature_linter","signature"
"mode_signature_linter","signature"
"months_signature_linter","signature"
"months_Date_signature_linter","signature"
"months_POSIXt_signature_linter","signature"
"mtfrm_signature_linter","signature"
"mtfrm_Date_signature_linter","signature"
"mtfrm_default_signature_linter","signature"
"mtfrm_POSIXct_signature_linter","signature"
"mtfrm_POSIXlt_signature_linter","signature"
"nameOfClass_signature_linter","signature"
"nameOfClass_default_signature_linter","signature"
"names_signature_linter","signature"
"names_POSIXlt_signature_linter","signature"
"namespaceExport_signature_linter","signature"
"namespaceImportClasses_signature_linter","signature"
"namespaceImportFrom_signature_linter","signature"
"namespaceImportMethods_signature_linter","signature"
"nchar_signature_linter","signature"
"ncol_signature_linter","signature"
"NCOL_signature_linter","signature"
"Negate_signature_linter","signature"
"new_env_signature_linter","signature"
"ngettext_signature_linter","signature"
"nlevels_signature_linter","signature"
"noquote_signature_linter","signature"
"norm_signature_linter","signature"
"normalizePath_signature_linter","signature"
"nrow_signature_linter","signature"
"NROW_signature_linter","signature"
"numeric_signature_linter","signature"
"numeric_version_signature_linter","signature"
"numToBits_signature_linter","signature"
"numToInts_signature_linter","signature"
"nzchar_signature_linter","signature"
"objects_signature_linter","signature"
"oldClass_signature_linter","signature"
"OlsonNames_signature_linter","signature"
"on_exit_signature_linter","signature"
"Ops_data_frame_signature_linter","signature"
"Ops_Date_signature_linter","signature"
"Ops_difftime_signature_linter","signature"
"Ops_factor_signature_linter","signature"
"Ops_numeric_version_signature_linter","signature"
"Ops_ordered_signature_linter","signature"
"Ops_POSIXt_signature_linter","signature"
"package_version_signature_linter","signature"
"packageEvent_signature_linter","signature"
"packageHasNamespace_signature_linter","signature"
"packageNotFoundError_signature_linter","signature"
"packBits_signature_linter","signature"
"parent_env_signature_linter","signature"
"parent_frame_signature_linter","signature"
"parse_signature_linter","signature"
"parseNamespaceFile_signature_linter","signature"
"path_expand_signature_linter","signature"
"path_package_signature_linter","signature"
"pipe_signature_linter","signature"
"pmatch_signature_linter","signature"
"polyroot_signature_linter","signature"
"pos_to_env_signature_linter","signature"
"Position_signature_linter","signature"
"prop_table_signature_linter","signature"
"proportions_signature_linter","signature"
"provideDimnames_signature_linter","signature"
"psigamma_signature_linter","signature"
"pushBack_signature_linter","signature"
"pushBackLength_signature_linter","signature"
"q_signature_linter","signature"
"qr_coef_signature_linter","signature"
"qr_fitted_signature_linter","signature"
"qr_Q_signature_linter","signature"
"qr_qty_signature_linter","signature"
"qr_qy_signature_linter","signature"
"qr_R_signature_linter","signature"
"qr_resid_signature_linter","signature"
"qr_solve_signature_linter","signature"
